ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
3801,3721,19101643,1,5600.0
3921,3841,19112395,1,1680.0
3921,3842,19041254,1,1990.0
4161,4061,19105558,1,11900.0
4161,4062,19109094,1,3900.0
4201,4101,19111578,1,9900.0
4241,4141,19091500,1,12900.0
4241,4142,19110013,1,11000.0
4242,4143,25017565,1,2900.0
4262,4162,19097434,1,17600.0
4301,4201,19071518,1,1680.0
4301,4202,19036622,1,3010.0
4301,4203,19036613,1,5740.0
4301,4204,19096174,1,5590.0
4301,4205,19090822,1,6930.0
4301,4206,19036583,1,2660.0
4321,4207,59009013,1,37600.0
4381,4261,19111094,1,23900.0
4381,4262,19096338,1,5900.0
4381,4263,19050212,1,22500.0
4401,4264,19071269,1,13900.0
4421,4265,19005144,11,28050.0
4521,4361,59008472,1,27450.0
4601,4441,59008117,1,20900.0
4661,4501,19111554,1,8990.0
4661,4502,19109094,1,3900.0
4723,4580,19089099,1,27900.0
4723,4581,19071892,1,19900.0
4821,4663,19105348,2,5380.0
4822,4664,19105348,1,2690.0
4841,4681,19076885,1,6650.0
4981,4801,59008117,2,41800.0
4981,4802,19089163,1,11500.0
4981,4803,19102426,1,25900.0
4981,4804,19097402,1,17990.0
4981,4805,19097405,1,36900.0
4981,4806,19097400,1,32900.0
4981,4807,19045725,1,6650.0
4981,4808,19058651,2,25800.0
5081,4901,19096187,1,3900.0
5182,4982,19111301,1,5250.0
5261,5061,19086661,1,7990.0
5261,5062,19085620,1,7350.0
5383,5192,19089099,1,27900.0
5383,5193,19080280,1,25400.0
5383,5194,19086678,1,19950.0
5383,5195,59008125,1,23900.0
5383,5196,19058651,1,12900.0
5383,5197,19102426,1,25900.0
5383,5198,19089163,1,11500.0
5383,5199,59008117,1,20900.0
5383,5200,19086670,2,3780.0
5383,5201,19077054,1,13900.0
5384,5202,25015685,2,3000.0
5401,5221,19106682,1,3290.0
5401,5222,19112395,1,1680.0
5401,5223,19112403,1,1680.0
5421,5241,19102426,1,25900.0
5421,5242,19089099,1,27900.0
5421,5243,19077054,1,13900.0
5421,5244,19086639,2,3500.0
5421,5245,59008117,2,41800.0
5421,5246,19076885,1,6650.0
5421,5247,19080280,1,25400.0
5421,5248,19110592,2,15000.0
