,ID,MATNR,IMAGE_URL
100,"24,800",19050235,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050235_TMPN500399-IT-SBDS-Home Decoration-YA-H71222E-MDF photo frame-Modern_A_A4.jpg
101,"24,801",19050236,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050236_TMPN500402-IT-SBDS-Home Decoration-YA-H86095B-Photo frame-Modern_A_A4.jpg
102,"21,339",19050182,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050182_TMPN200137 -IT-VP-Livingroom-Lasune 3S-Sofa-Vintage_A_A4.jpg
103,"32,215",25009848,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009848_NMI500412-IT-SBDS-Home Decoration-DE4720-Candle Holder-Vintage_A_A4.jpg
104,"31,873",25009905,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009905_NMI500400-IT-SBDS-Home Decoration-YA-H82472B-Resin vintage bust jewelry holder-Vintage_A_A4.jpg
105,"31,895",25009919,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009919_NMI500395-IT-SBDS-Home Decoration-YA-H81069A-MDF photo frame-Vintage_A_A4.jpg
106,"29,238",59000520,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000520_TMPN300144-RT-KC-Office-Brain-Personal-Contemporary_A_A4.jpg
107,"14,824",19037397,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19037397_TMPN300087-IT-KC-Livingroom-Lizzo-LC080-ModernItalianContemporary_A_A4.jpg
108,"19,395",19039989,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19039989_TMPN200080-IT-SB-Diningroom-Veer-Diningchair-Modern_A_A4.jpg
109,"23,713",19045951,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19045951_TMPN100027-SB-Bedroom-Decon100027-Bed-Modern Italian_A_A4.jpg
110,"22,419",19030687,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030687_TMPN500040-IT-SBDS-Home Decoration-P2957-Seramic-Modern_A_A4.jpg
111,"23,991",59000228,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000228_TMPN300039-RT-KC-Bedroom-Optimus-Minimal_A_A4.jpg
112,"19,814",19043218,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19043218_TMPN200106 -IT-SB-Livingroom-Cannery-Stool-Contemporary_A_A4.jpg
113,"29,294",59000721,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000721_TMP200240-RT-SB-Diningroom-HONEY&FENDY4x4-Modern Classic_A_A4.jpg
114,"24,068",59000456,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000456_TMPN300032-RT-KC-Livingroom-Maximus2.4m-Modern_A_A4.jpg
115,"32,226",25009390,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009390_NMI500414-IT-SBDS-Home Decoration-DE6047-Photo Frame-Vintage_A_A4.jpg
116,"32,029",25009980,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009980_NMI500318-IT-SBDS-Home Decoration-HD5954-Scrolled metal table lamp-Vintage_A_A4.jpg
117,"32,474",25009308,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009308_NMI500434-IT-SBDS-Home Decoration--84882-Decoration-Vintage_A_A4.jpg
118,"32,476",25009110,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009110_NMI500420-IT-SBDS-Home Decoration-A5269-Photo Frame-Vintage_A_A4.jpg
119,"14,707",19036601,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19036601_TMPN300058-IT-KC-Livingroom-Optimus-SC040-Minimal_A_A4.jpg
120,"14,172",19022746,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19022746_TMPN300566-IT-KC-Kitchen-SO40-ModernContemporary_A_A4.jpg
