,NODE,LTEXT,LTEXT_T
403,CN,Gate Door,ระบบประตูรั้วอัตโนมัติ
404,CO,Window Automation,ระบบมอเตอร์สำหรับม่าน
405,CP,Vertical Awning,กันสาด แนวตั้ง
406,CQ,Horizontal Awning,กันสาด แนวนอน
407,CR,Arch Unit,โครงซุ้มทีวี
408,CS,Bed Head,โครงซุ้มหัวเตียง
409,CT,Body structure,โครงตู้
410,CU,Door's Fitting,อุปกรณ์เสริมหน้าบาน
411,CV,TV Unit,โครงตู้ทีวี
412,CY,Vacuum Cleaner,เครื่องดูดฝุ่น
413,DF,ที่นอนพ็อคเกตสปริง+เมมโมรี่โฟม,Mattress Pocket Spring + Memory Foam
414,DH,ที่นอนโฟมสังเคราะห์+ยางพารา,Mattress Synthetic Foam + Latex
415,DI,โต๊ะกลางไม้ท๊อปเหล็ก,Coffee Table/Wood/Steel Top
416,DJ,ชุดครัว Croissant,Kitchen Set Croissant
417,DB,ผนังตกแต่งกระจก,Mirror decorative wall
418,BE,อาร์มแชร์หวาย,Armchair/Rattan
419,BW,ชุดครัว Kuche,Kitchen Set Kuche
420,BX,ชุดตู้เก็บของหนังสือ,Storage Set
421,BY,ชุดผนังตกแต่ง,Wall Storage Set
422,BZ,ชุดวางทีวี Infinity,Infinity TV Set
423,CA,ชุดวางทีวี Scenario,Scenario TV Set
424,CB,ซีรีย์ตู้ผ้า WD Plus,Wardrobe Plus Set
425,CC,ซีรีย์ตู้ผ้า Maxio,Maxio Wardrobe Set
426,CD,ชุดห้องนอน,Bedroom Set
427,CE,ชุดห้องนอนเด็ก,Kids Bedroom Set
428,CF,ชุดวางทีวีสำเร็จรูป,TV Set
429,CJ,ผนังหลัง,Wall panel
430,DC,เก้าอี้สตูลบาร์เบาะพลาสติก,Bar Stool/Plas
431,DK,ที่นอนโฟมออร์แกนิค+ยางพารา,FoamOrganic+Latex Mattress
432,DL,ที่นอนโฟม + ยางพารา,Foam+Latex Mattress
433,DG,ที่นอนสปริง+โฟมสังเคราะห์,Mattress Spring + Synthetic Foam
434,DA,ฟิลม์อาคาร,Building Film
435,DE,ที่นอนพ็อคเกตสปริง+โฟมสังเคราะห์,Mattress Pocket Spring + Synthetic Foam
