"ITEM_ID","CART_ID","MATNR","QUANTITY","TOTAL_PRICE","DESCRIPTION","NORMAL_PRICE","F_CANBUY","PROMO_REC_ID","PROMO_CART_ITEM_ID","SOFTNESS_ID"
"10,171","11,064","19106682",1,"3,290",,"3,290",Y,,,
"10,425","11,365","19110654",1,"35,900",,"35,900",Y,,,
"10,173","10,984","59001821",1,"17,900",,"17,900",Y,,,
"10,174","11,082","19041861",1,"3,500",,"3,500",Y,,,
"10,429","11,365","59010060",1,"29,900",,"29,900",Y,,,
"10,433","11,365","19077305",1,"39,900",,"39,900",Y,,,
"10,434","11,365","59003139",1,"12,825",,"12,825",Y,,,
"10,437","11,365","59008252",1,"24,900",,"24,900",Y,,,
"10,447","11,365","59004534",1,"31,900",,"31,900",Y,,,
"10,449","11,365","59000356",1,"21,500",,"21,500",Y,,,
"11,103","12,002","19067853",1,"12,500",,"12,500",Y,,,
"10,450","11,365","19106652",1,"9,900",,"9,900",Y,,,
"10,761","11,683","19088110",1,"27,900",,"27,900",Y,,,
"10,456","11,384","19101647",1,"5,460",,"5,460",Y,,,
"10,543","11,462","59007733",1,"18,900",,"18,900",Y,,,
"10,586","11,502","19096161",1,"6,800",,"6,800",Y,,,
"57,245","63,263","19106518",1,"9,380",,"9,380",Y,,,
"10,604","11,525","19077288",1,"33,400",,"33,400",Y,,,
"10,674","11,564","19101200",1,"17,500",,"17,500",Y,,,
"10,494","11,404","19063797",1,"6,860",,"6,860",Y,,,
"10,763","11,564","19063489",1,"6,790",,"6,790",Y,,,
"10,767","11,564","19014291",1,"8,925",,"8,925",Y,,,
"10,663","11,564","19097688",1,"16,450",,"16,450",Y,,,
"10,769","11,564","19097678",1,"10,360",,"10,360",Y,,,
"10,774","11,683","19088112",1,"17,900",,"17,900",Y,,,
"11,184","11,683","59002026",1,"23,500",,"23,500",Y,,,
"11,065","11,445","25017489",2,780,,390,Y,,,
"11,026","11,926","19111284",1,"5,950",,"5,950",Y,,,
"11,034","11,926","19111552",1,"24,900",,"24,900",Y,,,
"11,101","12,002","19106904",1,"7,500",,"7,500",Y,,,
"11,166","8,482","59007631",1,"30,900",,"30,900",Y,,,
"11,183","11,683","59003388",1,"22,500",,"22,500",Y,,,
"3,261","3,103","19080297",1,"28,900",,"28,900",Y,,,
"6,506","6,842","19036595",1,"2,450",,"2,450",Y,,,
"3,761","3,722","19071520",1,"1,750",,"1,750",Y,,,
"11,921","12,822","59010162",1,"5,900",,"5,900",Y,,,
"3,424","3,302","59001170",1,"55,900",,"55,900",Y,,,
"3,765","3,743","19077275",1,"2,390",,"2,390",Y,,,
"17,107","18,804","19111285",1,"5,950",,"5,950",Y,,,
"55,708","61,545","19113240",1,"12,900",,"12,900",Y,,,
"3,768","3,744","19014291",1,"8,925",,"8,925",Y,,,
"55,741","61,582","19023001",1,"6,900",,"6,900",Y,,,
"3,801","3,802","19104918",1,"8,950",,"8,950",Y,,,
"3,821","3,802","19096339",1,"5,900",,"5,900",Y,,,
"3,845","3,842","19037267",2,"6,720",,"3,360",Y,,,
"3,846","3,842","19029462",1,"1,610",,"1,610",Y,,,
"3,863","3,883","59008845",1,"19,200",,"19,200",Y,,,
"4,308","4,362","19090906",1,"21,600",,"21,600",Y,,,
"4,001","4,042","19071517",1,"1,680",,"1,680",Y,,,
"4,091","4,142","25017411",1,299,,299,Y,,,
"55,887","61,762","19115389",1,"7,500",,"7,500",Y,,,
"4,093","4,142","25017431",1,399,,399,Y,,,
"4,085","4,142","25015939",1,199,,199,Y,,,
"5,841","6,142","59010030",1,"26,900",,"26,900",Y,,,
"6,101","6,382","19086636",1,"9,500",,"9,500",Y,,,
"4,242","4,362","19097821",1,"9,310",,"9,310",Y,,,
"4,205","4,302","19100903",1,975,,975,Y,,,
"4,241","3,682","19086683",1,"7,100",,"7,100",Y,,,
"4,243","3,682","19086656",1,"4,590",,"4,590",Y,,,
"10,457","11,384","19067796",1,"5,250",,"5,250",Y,,,
"55,743","61,582","19042857",1,"7,125",,"7,125",Y,,,
"55,742","61,582","19111268",1,"7,840",,"7,840",Y,,,
"4,621","4,742","19094078",1,"9,900",,"9,900",Y,,,
"4,745","4,865","19090935",1,"21,500",,"21,500",Y,,,
"7,563","8,062","19077690",1,"3,750",,"3,750",Y,,,
"4,835","4,922","25015801",1,"1,190",,"1,190",Y,,,
"8,241","8,862","19104911",1,"12,700",,"12,700",Y,,,
"55,744","61,582","19121074",1,"19,900",,"19,900",Y,,,
"55,745","61,582","19114085",1,"19,900",,"19,900",Y,,,
"4,903","5,043","19086647",1,"3,800",,"3,800",Y,,,
"4,863","4,963","19071517",1,"1,680",,"1,680",Y,,,
"4,883","4,982","25017635",1,190,,190,Y,,,
"4,967","5,102","19014293",1,"8,700",,"8,700",Y,,,
"4,964","5,102","19059103",1,"6,860",,"6,860",Y,,,
"55,746","61,582","19114085",1,"19,900",,"19,900",Y,,,
"4,982","5,102","19014291",1,"8,925",,"8,925",Y,,,
"55,761","61,602","19068782",1,"14,400",,"14,400",Y,,,
"15,450","17,022","19086674",1,"12,500",,"12,500",Y,,,
"5,322","5,482","25017279",1,190,,190,Y,,,
"5,224","5,382","19109483",1,"7,350",,"7,350",Y,,,
"55,782","61,623","19071521",1,"2,380",,"2,380",Y,,,
"5,561","5,842","19111288",1,"5,250",,"5,250",Y,,,
"55,784","61,423","59008735",1,"11,500",,"11,500",Y,,,
"5,681","5,922","19090840",1,"12,600",,"12,600",Y,,,
"7,161","7,582","19096162",1,"6,800",,"6,800",Y,,,
"7,224","7,702","59008875",1,"26,900",,"26,900",Y,,,
"55,787","61,625","19094071",1,"13,900",,"13,900",Y,,,
"6,183","6,502","59008126",1,"22,900",,"22,900",Y,,,
"6,201","6,522","59008126",1,"22,900",,"22,900",Y,,,
"6,223","6,542","25015073",1,890,,890,Y,,,
"7,341","7,842","19110639",1,"23,900",,"23,900",Y,,,
"7,364","7,883","19088981",1,"4,830",,"4,830",Y,,,
"55,806","61,643","19062913",1,"39,900",,"39,900",Y,,,
"15,639","17,167","19101664",1,"3,700",,"3,700",Y,,,
"7,602","8,143","19090399",1,"1,750",,"1,750",Y,,,
"7,621","8,182","19055601",1,"10,900",,"10,900",Y,,,
"7,682","8,262","19077060",1,"3,900",,"3,900",Y,,,
"8,141","8,762","19090400",1,"4,410",,"4,410",Y,,,
"10,749","11,643","19086673",1,"11,500",,"11,500",Y,,,
"8,501","9,102","19110853",1,"9,900",,"9,900",Y,,,
"8,326","8,925","19111094",1,"23,900",,"23,900",Y,,,
"8,502","9,102","19111263",1,"9,520",,"9,520",Y,,,
"9,069","9,686","19089774",1,"15,300",,"15,300",Y,,,
"8,506","9,102","19071053",1,"2,990",,"2,990",Y,,,
"8,842","9,443","19110908",1,"19,900",,"19,900",Y,,,
"8,601","9,202","19077060",1,"3,900",,"3,900",Y,,,
"8,642","9,222","19110855",1,"19,900",,"19,900",Y,,,
"8,685","8,562","19101668",1,"5,600",,"5,600",Y,,,
"8,783","9,344","19071517",1,"1,680",,"1,680",Y,,,
"8,854","9,447","19026285",1,"6,435",,"6,435",Y,,,
"8,852","9,447","19026574",1,"15,750",,"15,750",Y,,,
