"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"4,563","6,545","25017684",,,MDM_CYBER,
"4,565","6,547","25017220",,,MDM_CYBER,
"4,566","6,547","25017218",,,MDM_CYBER,
"4,568","6,547","25017216",,,MDM_CYBER,
"4,575","6,551","25015970",,,MDM_CYBER,
"4,580","6,553","25017615",,,MDM_CYBER,
"4,582","6,553","25017620",,,MDM_CYBER,
"4,583","6,553","25017489",,,MDM_CYBER,
"4,584","6,553","25017625",,,MDM_CYBER,
"4,585","6,553","25017612",,,MDM_CYBER,
"4,586","6,553","25017614",,,MDM_CYBER,
"4,587","6,553","25017619",,,MDM_CYBER,
"4,596","6,553","25017718",,,MDM_CYBER,
"4,625","6,562","19015920",,,MDM_CYBER,
"4,627","6,562","19077274",,,MDM_CYBER,
"4,682","6,640","59003597",,,MDM_CYBER,
"4,684","6,640","19101644",,,MDM_CYBER,
"4,685","6,640","19101643",,,MDM_CYBER,
"4,686","6,640","59006946",,,MDM_CYBER,
"4,688","6,640","25017104",,,MDM_CYBER,
"4,689","6,640","25015837",,,MDM_CYBER,
"4,692","6,640","19090383",,,MDM_CYBER,
"4,742","6,883",,"2,181",,INSPIRATION,
"4,774","6,886","19067348",,,MDM_CYBER,
"4,776","6,886","19031433",,,MDM_CYBER,
"4,802","7,044","25017390",,,MDM_CYBER,
"4,803","7,044","25017389",,,MDM_CYBER,
"4,842","7,210","19110917",,,MDM_CYBER,
"4,846","7,210","19026336",,,MDM_CYBER,
"4,866","7,229",,"2,181",,INSPIRATION,
"4,867","7,229",,,,PHOTO,"2,541"
"4,882","7,261","19090937",,,MDM_CYBER,
"4,907","7,308","59003352",,,MDM_CYBER,
"4,908","7,308","59003336",,,MDM_CYBER,
"4,909","7,308","19106678",,,MDM_CYBER,
"4,947","7,346","19029464",,,MDM_CYBER,
"4,948","7,346","19029468",,,MDM_CYBER,
"4,949","7,346","19060299",,,MDM_CYBER,
"4,983","7,385",,"2,241",,INSPIRATION,
"5,122","7,346","19067399",,,MDM_CYBER,
"5,183","7,828",,"2,221",,INSPIRATION,
"5,207","7,884","19101637",,,MDM_CYBER,
"5,209","7,884","19087090",,,MDM_CYBER,
"5,210","7,884","59009732",,,MDM_CYBER,
"5,242","7,980","59006452",,,MDM_CYBER,
"5,243","7,980","19055902",,,MDM_CYBER,
"5,262","8,045","19089166",,,MDM_CYBER,
"5,303","8,523","19047931",,,MDM_CYBER,
"5,305","8,523","19071896",,,MDM_CYBER,
"5,322","8,526","19096339",,,MDM_CYBER,
"5,325","8,531",,"2,301",,INSPIRATION,
"5,326","8,531",,"2,241",,INSPIRATION,
"5,327","8,531",,"2,144",,INSPIRATION,
"5,328","8,531",,"2,143",,INSPIRATION,
"5,411","8,712","19096339",,,MDM_CYBER,
"5,502","8,905",,,,PHOTO,"2,823"
"5,503","8,905",,,,PHOTO,"2,903"
"5,504","8,905",,,,PHOTO,"2,824"
"5,563","9,059",,"2,441",,INSPIRATION,
"5,565","9,060","19111255",,,MDM_CYBER,
"5,642","9,221",,"2,365",,INSPIRATION,
"5,643","9,221",,"2,301",,INSPIRATION,
"5,704","9,060","19097694",,,MDM_CYBER,
"5,708","9,302","19110809",,,MDM_CYBER,
"5,709","9,302","19110810",,,MDM_CYBER,
"5,711","9,302","19110849",,,MDM_CYBER,
"5,712","9,060","19106905",,,MDM_CYBER,
"5,713","9,302","19094073",,,MDM_CYBER,
"5,714","9,060","19094074",,,MDM_CYBER,
"5,715","9,302","19094074",,,MDM_CYBER,
"5,726","9,341","19097677",,,MDM_CYBER,
"5,803","9,422","19063976",,,MDM_CYBER,
"5,804","9,422","19055600",,,MDM_CYBER,
"5,806","9,422","19110329",,,MDM_CYBER,
"5,810","9,363","19096188",,,MDM_CYBER,
"5,888","9,584","19014718",,,MDM_CYBER,
"5,923","9,363","19091927",,,MDM_CYBER,
"5,924","9,364","19091915",,,MDM_CYBER,
"5,943","9,802","25015717",,,MDM_CYBER,
"5,950","9,802","25017696",,,MDM_CYBER,
"5,951","9,802","25015920",,,MDM_CYBER,
"5,962","3,381","19106901",,,MDM_CYBER,
"5,986","10,101","59003597",,,MDM_CYBER,
"6,009","10,162","19058653",,,MDM_CYBER,
"6,022","10,304","19071269",,,MDM_CYBER,
"6,024","10,304","19110851",,,MDM_CYBER,
"6,045","10,331",,"2,421",,INSPIRATION,
"6,049","10,341","19088986",,,MDM_CYBER,
"6,050","10,341","19112411",,,MDM_CYBER,
"6,052","10,341","19097682",,,MDM_CYBER,
"6,053","10,341","19096171",,,MDM_CYBER,
"6,054","10,341","19086673",,,MDM_CYBER,
"6,142","10,464","59009994",,,MDM_CYBER,
"6,144","10,464","59008619",,,MDM_CYBER,
"6,145","10,464","59008252",,,MDM_CYBER,
"6,162","10,660","59010078",,,MDM_CYBER,
"6,182","10,682",,"2,521",,INSPIRATION,
"6,183","10,683",,"2,501",,INSPIRATION,
"6,222","8,045","19089165",,,MDM_CYBER,
"6,242","10,781","59007499",,,MDM_CYBER,
"6,263","10,807","59008122",,,MDM_CYBER,
"6,265","10,807","59007630",,,MDM_CYBER,
"6,266","10,807","59008822",,,MDM_CYBER,
"6,267","10,807","59007621",,,MDM_CYBER,
